trace_id,session_id,timestamp,fecha,hora,escenario,variante,intent,modelo,expected_tool,n_steps,n_tools,latency_ms,tokens_prompt,tokens_completion,tokens_total,cost_usd,success,correct_tool,error_type,pii_detected,injection_blocked,masked_fields,exito_int,error_int
con8726,S00-con-0,2025-06-02 10:52:25,2025-06-02,10,consulta_saldo,v1,consultar_saldo,gpt-4o,consultar_saldo,1,1,675.8,286,82,368,0.001535,True,True,,True,False,1,1,0
con9339,S00-con-0,2025-06-02 16:38:10,2025-06-02,16,consulta_saldo,v1,consultar_saldo,gpt-4o,consultar_saldo,1,1,997.5,236,98,334,0.00157,True,True,,True,False,1,1,0
con7822,S00-con-0,2025-06-02 13:51:09,2025-06-02,13,consulta_saldo,v1,consultar_saldo,gpt-4o,consultar_saldo,1,1,869.9,258,82,340,0.001465,True,True,,True,False,1,1,0
con7702,S00-con-1,2025-06-02 15:17:55,2025-06-02,15,consulta_saldo,v2,consultar_saldo,gpt-4o,consultar_saldo,1,1,752.5,311,115,426,0.001927,True,True,,True,False,1,1,0
con7027,S00-con-1,2025-06-02 11:31:33,2025-06-02,11,consulta_saldo,v2,consultar_saldo,gpt-4o,consultar_saldo,1,1,695.6,307,75,382,0.001517,True,True,,True,False,1,1,0
con7141,S00-con-1,2025-06-02 14:39:14,2025-06-02,14,consulta_saldo,v2,consultar_saldo,gpt-4o,consultar_saldo,1,1,913.5,294,104,398,0.001775,True,True,,True,False,1,1,0
con2258,S00-con-2,2025-06-02 12:05:02,2025-06-02,12,consulta_saldo,v3,consultar_saldo,gpt-4o,consultar_saldo,1,1,1113.7,195,82,277,0.001308,True,True,,True,False,1,1,0
con3735,S00-con-2,2025-06-02 16:08:47,2025-06-02,16,consulta_saldo,v3,consultar_saldo,gpt-4o,consultar_saldo,1,1,1087.0,270,61,331,0.001285,True,True,,True,False,1,1,0
inf6956,S00-inf-0,2025-06-02 14:25:26,2025-06-02,14,info_producto,v1,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,1147.6,302,167,469,0.002425,True,True,,False,False,0,1,0
inf7500,S00-inf-0,2025-06-02 12:51:46,2025-06-02,12,info_producto,v1,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,1002.8,347,166,513,0.002528,True,True,,False,False,0,1,0
inf6671,S00-inf-0,2025-06-02 12:43:41,2025-06-02,12,info_producto,v1,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,747.5,262,164,426,0.002295,True,True,,False,False,0,1,0
inf7451,S00-inf-1,2025-06-02 12:55:15,2025-06-02,12,info_producto,v2,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,811.4,300,181,481,0.00256,True,True,,False,False,0,1,0
inf2590,S00-inf-1,2025-06-02 14:42:32,2025-06-02,14,info_producto,v2,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,890.0,333,150,483,0.002332,True,True,,False,False,0,1,0
inf4741,S00-inf-1,2025-06-02 10:55:45,2025-06-02,10,info_producto,v2,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,1201.7,340,204,544,0.00289,True,True,,False,False,0,1,0
inf6228,S00-inf-1,2025-06-02 11:13:59,2025-06-02,11,info_producto,v2,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,952.3,235,111,346,0.001698,True,True,,False,False,0,1,0
inf9439,S00-inf-2,2025-06-02 20:00:26,2025-06-02,20,info_producto,v3,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,1060.7,273,134,407,0.002022,True,True,,False,False,0,1,0
inf9064,S00-inf-2,2025-06-02 17:11:00,2025-06-02,17,info_producto,v3,buscar_producto,gpt-4o,buscar_producto_bancario,2,1,691.8,291,147,438,0.002197,True,True,,False,False,0,1,0
inf9243,S00-inf-2,2025-06-02 16:56:36,2025-06-02,16,info_producto,v3,buscar_producto,gpt-4o,buscar_producto_bancario,1,1,852.5,442,119,561,0.002295,True,True,,False,False,0,1,0
